,CUI,Drug,Indication
1028,['3429'],Dihydrotachysterol," the prevention and rickets or osteomalacia, and manage hypocalcemia associated with hypoparathyroidism or pseudohypoparathyroidism. also the vitamin d dependent rickets, rickets or osteomalacia secondary long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with fanconi syndrome (with acidosis)."
1029,['29528'],Mequitazine," the hay fever, urticaria (hives) and allergic rhinitis"
1030,['343047'],Atazanavir," in combination with other antiretroviral agents the hiv-1 infection, as well as postexposure prophylaxis hiv infection in individuals who have had occupational or nonoccupational exposure potentially infectious body fluids a person known be infected with hiv when that exposure represents a substantial risk hiv transmission."
1031,['24698'],Fludarabine, the adult patients with b-cell chronic lymphocytic leukemia (cll) who have not responded or whose disease has progressed during with at least one standard alkylating-agent containing regimen
1032,['8050'],Perhexiline, the severe angina pecris.
1033,['3498'],Diphenhydramine," the sympms associated with vertigo/meniere's disease, nausea and vomiting, motion sickness and insect bite."
1034,['83367'],Atorvastatin,"may be as primary prevention in individuals with multiple risk facrs coronary heart disease (chd) and as secondary prevention in individuals with chd reduce the risk myocardial infarction (mi), stroke, angina, and revascularization procedures. may be reduce the risk cardiovascular events in patients with acute coronary syndrome (acs). may be in the primary hypercholesterolemia and mixed dyslipidemia, homozygous familial hypercholesterolemia, primary dysbetalipoproteinemia, and/or hypertriglyeridemia as an adjunct dietary therapy decrease serum tal and low-density lipoprotein cholesterol (ldl-c), apolipoprotein b (apob), and triglyceride concentrations, while increasing high-density lipoprotein cholesterol (hdl-c) levels."
1035,"['42682', '1356715']",Etidronic acid, the sympmatic paget's disease bone and in the prevention and heteropic ossification following tal hip replacement or due spinal cord injury.
1036,['3248'],Deslanoside," the and congestive cardiac insufficiency, arrhythmias and heart failure."
1037,['139778'],Tegaserod,provides relief from the sympms irritable bowel syndrome including chronic idiopathic constipation.
1038,['14851'],Vigabatrin," use as an adjunct in resistant epilepsy, refracry complex partial seizures, and secondary generalized seizures. it is also as monotherapy in infantile spasms in west syndrome."
1039,['3500'],Diphenoxylate, as adjunctive therapy in the diarrhea
1040,['10109'],Streptomycin," the tuberculosis. may also be in combination with other drugs treat tularemia (francisella tularensis), plague (yersia pestis), severe m. avium complex, brucellosis, and enterococcal endocarditis (e.g. e. faecalis, e. faecium)."
1041,['37925'],Orlistat, obesity including weight loss and weight maintenance when in conjunction with a reduced-calorie diet. also reduce the risk weight regain after prior weight loss. use is pending revision due reports liver-related adverse events.
1042,['28144'],Emedastine, the temporary relief the signs and sympms allergic conjunctivitis.
1043,['8328'],Pilocarpine, the radiation-induced dry mouth (xerosmia) and sympms dry mouth in patients with sj&ouml;grens syndrome.
1044,['1399'],Benzocaine," general use as a lubricant and pical anesthetic on esophagus, larynx, mouth, nasal cavity, rectum, respirary tract or trachea, urinary tract, vagina. it is also suppress gag reflex."
1045,['8687'],Primaquine, the malaria.
1046,['40138'],Iloprost, the pulmonary arterial hypertension.
1047,['62174'],Deserpidine, the hypertension.
1048,['47461'],Butenafine," the pical the following dermalogic infections: tinea (pityriasis) versicolor due <i>m. furfur</i>, interdigital tinea pedis (athlete&rsquo;s foot), tinea corporis (ringworm) and tinea cruris (jock itch) due <i>e. floccosum</i>, <i>t. mentagrophytes</i>, <i>t. rubrum</i>, and <i>t. nsurans</i>."
1049,['7762'],Ouabain, the atrial fibrillation and flutter and heart failure
1050,['3455'],Dimethyl sulfoxide, the sympmatic relief patients with interstitial cystitis.
1051,['1314255'],Hesperetin," lowering cholesterol and, possibly, otherwise favorably affecting lipids. <i>in vitro</i> research also suggests the possibility that might have some anticancer effects and that it might have some anti-aromatase activity, as well as activity again."
1052,['41127'],Fluvastatin," be as an adjunct dietary therapy prevent cardiovascular events. may be as secondary prevention in patients with coronary heart disease (chd) reduce the risk requiring coronary revascularization procedures, reducing progression coronary atherosclerosis in hypercholesterolemic patients with chd, and the primary hypercholesterolemia and mixed dyslidipidemia."
1053,['7778'],Oxamniquine, schissomiasis ca by <i>schissoma mansoni</i>
1054,['27169'],Leflunomide, the the signs and sympms active rheumaid arthritis (ra) improve physical function and slow the progression structural damage associated with the disease. has also been the prevention acute and chronic rejection in recipients solid organ trasnplants and is designated by the fda as an orphan drug this use.
1055,['301542'],Rosuvastatin," as an adjunct dietary therapy treat primary hyperlipidemia (heterozygous familial and nonfamilial), mixed dyslipidemia and hypertriglyceridemia. also homozygous familial hypercholesterolemia as an adjunct other lipid-lowering therapies or when other such therapies are not available. furthermore, it is slow the progression atherosclerosis and primary prevention cardiovascular disease."
1056,"['4451', '227633']",Flucytosine," the (in combination with amphotericin b) serious infections ca by susceptible strains candida (septicemia, endocarditis and urinary system infections) and/or crypcoccus (meningitis and pulmonary infections)."
1057,['8331'],Pimozide, the suppression mor and phonic tics in patients with urette's disorder who have failed respond satisfacrily standard .
1058,['194000'],Capecitabine," the patients with metastatic breast cancer resistant both paclitaxel and an anthracycline-containing chemotherapy regimen. may also be in combination with docetaxel the metastatic breast cancer in patients who have failed respond , or recurred or relasped during or following anthracycline-containing chemotherapy. is alone as an adjuvant therapy following the complete resection primary tumor in patients with stage iii colon cancer when monotherapy with fluroprymidine is preferred. the use or in combination regimens advanced gastric cancer is currently being investigated."
1059,['61609'],Arbutamine," elicit acute cardiovascular responses (cardiac stumulant), similar those produced by exercise, in order aid in diagnosing the presence or absence coronary artery disease (cad) in patients who cannot exercise adequately."
1060,['9061'],Quinacrine, the giardiasis and cutaneous leishmaniasis and the malignant effusions.
1061,['36437'],Sertraline," the major depressive disorder, posttraumatic stress disorder, obsessive-compulsive disorder, panic disorder with or without agoraphobia, premenstrual dysphoric disorder, social phobia, premature ejaculation, and vascular headaches."
1062,['36514'],Sibutramine, the obesity.
1063,['28627'],Levocabastine,as an ophthalmic the temporary relief the signs and sympms seasonal allergic conjunctivitis. also as a nasal spray allergic rhinitis.
1064,['6910'],Methyprylon, the insomnia.
1065,['38668'],Trilostane, in the cushing's syndrome. it is normally in short-term until permanent therapy is possible.
1066,['5224'],Heparin,"unfractionated is prophylaxis and venous thrombosis and its extension, prevention post-operative deep venous thrombosis and pulmonary embolism and prevention clotting in arterial and cardiac surgery. in cardiology, it is prevent embolisms in patients with atrial fibrillation and as an adjunct antithrombin therapy in patients with unstable angina and/or non-q wave myocardial infarctions (i.e. non-st elevated acute coronary artery syndrome) who are on platelet glycoprotein (iib/iiia) recepr inhibirs. additionally, it is prevent clotting during dialysis and surgical procedures, maintain the patency intravenous injection devices and prevent in vitro coagulation blood transfusions and in blood samples drawn laborary values."
1067,['6932'],Miconazole," pical application in the tinea pedis (athlete&rsquo;s foot), tinea cruris, and tinea corporis ca by <i>trichophyn rubrum</i>, <i>trichophyn mentagrophytes</i>, and <i>epidermophyn floccosum</i>, in the cutaneous candidiasis (moniliasis), and in the tinea versicolor."
1068,['2708'],Colistimethate," the acute or chronic infections due sensitive strains certain gram-negative bacilli, particularly <i>pseudomonas aeruginosa</i>."
1069,"['2194', '11415']",Cefuroxime," the many different types bacterial infections such as bronchitis, sinusitis, nsillitis, ear infections, skin infections, gonorrhea, and urinary tract infections."
