CUI,Drug,Indication
"['3554', '151358']",disulfiram,for the treatment and management of chronic alcoholism
['4170'],ethynodiol diacetate,for the prevention of pregnancy in women who elect to use this product as a method of contraception
"['6750', '236388']",menthol,used to treat occasional minor irritation pain sore mouth and sore throat as well as cough associated with a cold or inhaled irritants
['7268'],natamycin,for the treatment of fungal blepharitis conjunctivitis and keratitis caused by susceptible organisms including ifusarium solanii keratitis
['2550'],cinoxacin,for the treatment of initial and recurrent urinary tract infections in adults caused by the following susceptible microorganisms iescherichia colii iproteus mirabilisi iproteus vulgarisi iklebsiellai species including ik pneumoniaei and ienterobacteri species
['4550'],fosfomycin,for the treatment of uncomplicated urinary tract infections acute cystitis in women due to susceptible strains of iescherichia colii and ienterococcus faecalisi
['3322'],diazepam,used in the treatment of severe anxiety disorders as a hypnotic in the shortterm management of insomnia as a sedative and premedicant as an anticonvulsant and in the management of alcohol withdrawal syndrome
['8133'],phenmetrazine,used as an anorectic in the treatment of obesity
['10800'],trifluoperazine,for the treatment of anxiety disorders depressive symptoms secondary to anxiety and agitation
['33309'],phensuximide,for the treatment of epilepsy
"['2176', '1450910']",cefaclor,for the treatment of certain infections caused by bacteria such as pneumonia and ear lung skin throat and urinary tract infections
['6964'],mifepristone,for the medical termination of intrauterine pregnancy through 49 days pregnancy also indicated to control hyperglycemia secondary to hypercortisolism in adult patients with endogenous cushings syndrome who have type 2 diabetes mellitus or glucose intolerance and are not candidates for surgery or have had unsuccessful surgery
['1767'],brompheniramine,for the treatment of the symptoms of the common cold and allergic rhinitis such as runny nose itchy eyes watery eyes and sneezing
['6468'],loperamide,for the control and symptomatic relief of acute nonspecific diarrhea and of chronic diarrhea associated with inflammatory bowel disease or gastroenteritis also used for reducing the volume of discharge from ileostomies
['34568'],progabide,indicated for the treatment of epilepsy
['21249'],clocortolone,for shortterm topical treatment of the inflammatory and pruritic manifestations of moderate to severe corticosteroidresponsive dermatoses of the scalp
['10633'],tolazamide,for use as an adjunct to diet to lower the blood glucose in patients with noninsulin dependent diabetes mellitus type ii whose hyperglycemia cannot be satisfactorily controlled by diet alone
['27291'],hydroxypropyl cellulose,used to relieve dryness and irritation caused by reduced tear flow that occurs in certain eye diseases keratoconjunctivitis sicca recurrent corneal erosions decreased corneal sensitivity exposure and neuroparalytic keratitis and as a lubricant for artificial eyes
['3616'],dobutamine,for inotropic support in the short term treatment of patients with cardiac decompensation due to depressed contractility resulting either from organic heart disease or from cardiac surgical procedures
['7781'],oxazepam,for the treatment of anxiety disorders and alcohol withdrawal
['135447'],donepezil,for the palliative treatment of mild to moderate dementia of the alzheimers type
['7238'],nalbuphine,for the relief of moderate to severe pain
['2592'],clofazimine,for the treatment of lepromatous leprosy including dapsoneresistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum
['4500'],flurandrenolide,for relief of the inflammatory and pruritic manifestations of corticosteroidresponsive dermatoses particularly dry scaling localized lesions
['3022'],cysteamine,given intravenously or orally to treat radiation sickness the bitartrate salts cystagon and procysbi have been used for the oral treatment of nephropathic cystinosis and cystinurea the hydrochloride salt cystaran is indicated for the treatment of corneal cystine crystal accumulation in cystinosis patients
['6371'],levamisole,for adjuvant treatment in combination with fluorouracil after surgical resection in patients with dukes stage c colon cancer also used to treat malignant melanoma and headneck cancer levamisole was originally used as an antihelminthic to treat worm infestations in both humans and animals
['6758'],methylphenobarbital,for the relief of anxiety tension and apprehension also used as an anticonvulsant for the treatment of epilepsy
['8076'],perphenazine,for use in the management of the manifestations of psychotic disorders and for the control of severe nausea and vomiting in adults
['3098'],dacarbazine,for the treatment of metastatic malignant melanoma in addition dacarbazine is also indicated for hodgkins disease as a secondaryline therapy when used in combination with other antineoplastic agents
['8896'],pseudoephedrine,for the treatment of nasal congestion sinus congestion eustachian tube congestion and vasomotor rhinitis and as an adjunct to other agents in the optimum treatment of allergic rhinitis croup sinusitis otitis media and tracheobronchitis also used as firstline therapy of priapism
['37776'],temozolomide,for the treatment of adult patients diagnosed with anaplastic astrocytoma whose disease has progressed after therapy with nitrosourea and procarbazine as well as concomitantly with radiation therapy for treatment of newly diagnosed glioblastoma multiforme also used as maintenance therapy for glioblastoma multiforme
['6378'],levorphanol,for the management of moderate to severe pain or as a preoperative medication where an opioid analgesic is appropriate
['683'],aminolevulinic acid,aminolevulinic acid plus blue light illumination using a blue light photodynamic therapy illuminator is indicated for the treatment of minimally to moderately thick actinic keratoses of the face or scalp
['2399'],chlorphenesin,used along with rest and physical therapy to treat injuries and other painful muscular conditions investigated for use in trigeminal neuralgia tic douloureux a neuropathic disorder characterized by severe facial pain was investigated as a modulator of histamine release
