['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['35636'],Risperidone,"For the treatment of schizophrenia in adults and in adolescents, ages 13 to 17, and for the short-term treatment of manic or mixed episodes of bipolar I disorder in children and adolescents ages 10 to 17. May also be used to manage symptoms of inappropriate behavior due to aggression and/or psychosis in patients with severe dementia. "
['31476'],Naftifine,"For the topical treatment of tinea pedis, tinea cruris, and tinea corporis caused by the organisms <i>Trichophyton rubrum</i>, <i>Trichophyton mentagrophytes</i>, <i>Trichophyton tonsurans</i> and <i>Epidermophyton floccosum</i>."
['283742'],Esomeprazole,"For the treatment of acid-reflux disorders (GERD), peptic ulcer disease, H. pylori eradication, and prevention of gastroinetestinal bleeds with NSAID use."
['6676'],Meclizine,"For the prevention and treatment of nausea, vomiting, or dizziness associated with motion sickness."
['7994'],Pentamidine,For the treatment of pneumonia due to <i>Pneumocystis carinii</i>.
['26797'],Hetacillin,Hetacillin is a beta-lactam antibiotic prodrug used to treat bacterial infections. In the body it gets converted to ampicillin.
['35623'],Riluzole,"For the treatment of amyotrophic lateral sclerosis (ALS, Lou Gehrig's Disease)"
['5492'],Hydrocortisone,"For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Also used to treat endocrine (hormonal) disorders (adrenal insufficiency, Addisons disease). It is also used to treat many immune and allergic disorders, such as arthritis, lupus, severe psoriasis, severe asthma, ulcerative colitis, and Crohn's disease."
['6628'],Mannitol,"Used for the promotion of diuresis before irreversible renal failure becomes established, the reduction of intracranial pressure, the treatment of cerebral edema, and the promotion of urinary excretion of toxic substances."
['692620'],Gadobenic acid,"Gadobenate Dimeglumine is an MRI contrast agent used primarily for MR imaging of the liver. It can also be used for MRI of the heart, as well as and central nervous system in adults to visualize lesions with abnormal brain vascularity or abnormalities in the blood brain barrier, the brain, spine, or other associated tissues."
['40575'],Zileuton,For the prophylaxis and chronic treatment of asthma in adults and children 12 years of age and older.
['30125'],Modafinil,To improve wakefulness in patients with excessive daytime sleepiness (EDS) associated with narcolepsy.
['3131'],Deferoxamine,Used to treat acute iron or aluminum toxicity (an excess of aluminum in the body) in certain patients. Also used in certain patients with anemia who must receive many blood transfusions.
"['9601', '9603']",Scopolamine,"For the treatment of excessive salivation, colicky abdominal pain, bradycardia, sialorrhoea, diverticulitis, irritable bowel syndrome and motion sickness."
['20220'],Carbinoxamine,"For symptomatic relief of seasonal and perennial allergic rhinitis and vasomotor rhinitis, as well as allergic conjunctivitis caused by foods and inhaled allergens. Also for the relief of allergic reactions to blood or plasma, and the symptomatic management of mild, uncomplicated allergic skin manifestations of urticaria and angioedema."
['24605'],Etodolac,"For acute and long-term management of signs and symptoms of osteoarthritis and rheumatoid arthritis, as well as for the management of pain."
['8686'],Prilocaine,Used as a local anaesthetic and is often used in dentistry.
['39684'],Epinastine,For the prevention of itching associated with allergic conjunctivitis.
['10734'],Tranylcypromine,For the treatment of major depressive episode without melancholia.
['6026'],Isoflurane,For induction and maintenance of general anesthesia.
['4136'],Ethotoin,For the control of tonic-clonic (grand mal) and complex partial (psychomotor) seizures.
['10753'],Tretinoin,"For the the induction of remission in patients with acute promyelocytic leukemia (APL), French-American-British (FAB) classification M3 (including the M3 variant); For the topical treatment of acne vulgaris, flat warts and other skin conditions (psoriasis, ichthyosis congenita, icthyosis vulgaris, lamellar icthyosis, keratosis palmaris et plantaris, epidermolytic hyperkeratosis, senile comedones, senile keratosis, keratosis follicularis (Darier's disease), and basal cell carcinomas.); For palliative therapy to improve fine wrinkling, mottled hyperpigmentation, roughness associated with photodamage."
['5293'],Hexachlorophene,For use as a surgical scrub and a bacteriostatic skin cleanser. It may also be used to control an outbreak of gram-positive infection where other infection control procedures have been unsuccessful.
['68091'],Dolasetron,"For the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy, including initial and repeat courses of chemotherapy. Also used for the prevention of postoperative nausea and vomiting. This drug can be used intravenously for the treatment of postoperative nausea and vomiting."
['32968'],Clopidogrel,"For the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease."
['10395'],Tetracycline,"Used to treat bacterial infections such as Rocky Mountain spotted fever, typhus fever, tick fevers, Q fever, rickettsialpox and Brill-Zinsser disease. May be used to treat infections caused by Chlamydiae spp., B. burgdorferi (Lyme disease), and upper respiratory infections caused by typical (S. pneumoniae, H. influenzae, and M. catarrhalis) and atypical organisms (C. pneumoniae, M. pneumoniae, L. pneumophila). May also be used to treat acne. Tetracycline may be an alternative drug for people who are allergic to penicillin."
"['29561', '1546029']",Meropenem,"For use as single agent therapy for the treatment of the following infections when caused by susceptible isolates of the designated microorganisms: <b>complicated skin and skin structure infections</b> due to <i>Staphylococcus aureus</i> (b-lactamase and non-b-lactamase producing, methicillin-susceptible isolates only), <i>Streptococcus pyogenes</i>, <i>Streptococcus agalactiae</i>, viridans group streptococci, <i>Enterococcus faecalis</i> (excluding vancomycin-resistant isolates), <i>Pseudomonas aeruginosa</i>, <i>Escherichia coli</i>, <i>Proteus mirabilis</i>, <i>Bacteroides fragilis</i> and <i>Peptostreptococcus</i> species; <b>complicated appendicitis and peritonitis</b> caused by viridans group streptococci, <i>Escherichia coli</i>, <i>Klebsiella pneumoniae</i>, <i>Pseudomonas aeruginosa</i>, <i>Bacteroides fragilis</i>, <i>B. thetaiotaomicron</i>, and <i>Peptostreptococcus</i> species. Also for use in the treatment of bacterial meningitis caused by <i>Streptococcus pneumoniae</i>, <i>Haemophilus influenzae</i> (b-lactamase and non-b-lactamase-producing isolates), and <i>Neisseria meningitidis</i>."
['8591'],Potassium Chloride,For use as an electrolyte replenisher and in the treatment of hypokalemia.
['51499'],Irinotecan,For the treatment of metastatic colorectal cancer (first-line therapy when administered with 5-fluorouracil and leucovorin). Also used in combination with cisplatin for the treatment of extensive small cell lung cancer. Irinotecan is currently under investigation for the treatment of metastatic or recurrent cervical cancer. Also used in combination with fluorouracil and leucovorin for the treatment of patients with metastatic adenocarcinoma of the pancreas after disease progression following gemcitabine-based therapy.
['6835'],Methimazole,"For the treatment of hyperthyroidism, goiter, Graves disease and psoriasis."
['108118'],Mometasone,The inhaler is indicated for the maintenance treatment of asthma as prophylactic therapy. The nasal spray is indicated for the treatment of the nasal symptoms of seasonal allergic and perennial allergic rhinitis.
['266604'],Metyrosine,"For use in the treatment of patients with pheochromocytoma, for preoperative preparation of patients for surgery, management of patients when surgery is contraindicated, and chronic treatment of patients with malignant pheochromocytoma."
"['21216', '48203']",Clavulanate,"For use with Amoxicillin, clavulanic acid is suitable for the treatment of infections with <i>Staph. aureus</i> and <i>Bacteroides fragilis</i>, or with beta-lactamase producing <i>H. influenzae</i> and <i>E. coli</i>."
['19041'],Benzquinamide,"Used to prevent and treat nausea and vomiting associated with anesthesia and surgery, administered intramuscularly or intravenously."
